Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,RA9-WAR,ADP,playerid
Frankie Montas,Athletics,1,1,3.76,0,20,0,20,17,8,2,23,8,1.27,10.27,3.68,3.76,0.2,0.2,658.3,14309
Arodys Vizcaino,Braves,3,3,3.79,0,65,23,65,57,27,8,75,27,1.29,10.36,3.79,3.76,0.6,0.5,151.7,5498
Tyler Jones,Pirates,0,0,3.85,0,1,0,1,1,0,0,1,0,1.34,9.14,3.51,3.77,0,0.1,999,sa549495
David Price,Red Sox,13,8,3.75,29,29,0,180,167,75,24,179,46,1.19,8.97,2.32,3.77,3.4,3.9,116.7,3184
Rich Hill,Dodgers,10,7,3.6,24,24,0,141,120,57,17,158,50,1.2,10.06,3.21,3.77,2.6,2.6,122.3,4806
Chris Devenski,Astros,3,2,3.75,0,55,0,55,48,23,8,61,17,1.18,10.03,2.78,3.77,0.5,0.4,291.4,12763
Corey Oswalt,Mets,0,0,3.69,0,10,0,10,9,4,1,10,3,1.25,8.67,2.86,3.78,0.1,0.1,999,sa658034
Dallas Keuchel,Astros,14,9,3.69,32,32,0,202,203,83,20,169,62,1.31,7.52,2.74,3.78,3.9,3.6,78,9434
Josh Hader,Brewers,3,2,3.62,0,55,1,55,44,22,7,70,25,1.26,11.5,4.15,3.78,0.6,0.6,304.2,14212
Radhames Liz,Brewers,0,0,3.78,0,1,0,1,1,0,0,1,0,1.27,10.61,3.68,3.78,0,0.1,999,5843
Josh Fields,Dodgers,2,2,3.63,0,35,0,35,30,14,5,39,11,1.18,10,2.92,3.78,0.3,0.3,659.4,5070
Chaz Roe,Rays,2,2,3.62,0,40,0,40,35,16,4,42,17,1.3,9.49,3.74,3.79,0.3,0.4,701.8,9866
Zack Greinke,Diamondbacks,13,10,3.84,32,32,0,203,195,86,27,195,52,1.22,8.68,2.31,3.79,4,4,47,1943
Aaron Barrett,Nationals,0,0,3.74,0,1,0,1,1,0,0,1,0,1.3,9.7,3.64,3.79,0,0.1,999,11243
D.J. Snelten,Giants,1,0,3.48,0,10,0,10,9,4,1,9,4,1.35,7.81,3.64,3.79,0.1,0.1,999,sa549813
Charlie Morton,Astros,9,6,3.83,23,23,0,130,121,55,14,131,46,1.29,9.13,3.17,3.79,2.5,2.3,174.1,4676
Josh Smoker,Pirates,0,0,3.78,0,10,0,10,9,4,1,11,4,1.33,9.7,3.72,3.81,0.1,0,999,10285
Carson Smith,Red Sox,4,3,3.78,0,65,4,65,61,27,6,63,27,1.35,8.67,3.68,3.81,0.5,0.7,587.7,13172
Eric Yardley,Padres,0,0,3.73,0,1,0,1,1,0,0,1,0,1.34,7.26,2.97,3.82,0,0.1,999,sa744476
Koda Glover,Nationals,2,2,3.79,0,45,0,45,41,19,5,46,16,1.28,9.24,3.19,3.82,0.4,0.3,624.9,17695
Trevor Hildenberger,Twins,3,2,3.83,0,55,2,55,54,23,6,50,16,1.27,8.16,2.65,3.82,0.5,0.5,420.6,17002
Madison Bumgarner,Giants,13,11,3.73,32,32,0,207,194,86,28,198,50,1.18,8.6,2.18,3.83,3.3,3.5,26,5524
C.C. Lee,Dodgers,0,0,3.7,0,1,0,1,1,0,0,1,0,1.25,9.66,3.38,3.83,0,0.1,999,5177
J.T. Chargois,Dodgers,1,0,3.65,0,10,0,10,9,4,1,10,4,1.3,9.3,3.74,3.83,0.1,0.1,999,13767
Justin Verlander,Astros,14,9,3.86,32,32,0,204,180,87,29,227,64,1.2,10.03,2.84,3.83,3.8,3.6,40.3,8700
James Pazos,Mariners,2,2,3.62,0,45,0,45,38,18,5,51,21,1.32,10.2,4.25,3.83,0.4,0.4,661,13323
Jared Miller,Diamondbacks,2,2,3.69,0,35,0,35,31,14,4,39,17,1.35,9.98,4.3,3.84,0.3,0.4,999,sa827467
Zack Weiss,Reds,0,0,3.73,0,10,0,10,9,4,1,11,4,1.26,10.16,3.61,3.84,0.1,0.1,999,sa548466
Marcus Stroman,Blue Jays,13,10,3.89,32,32,0,200,204,86,20,163,60,1.32,7.35,2.71,3.84,3.9,3.6,126.7,13431
Jon Edwards,Padres,0,0,3.74,0,1,0,1,1,0,0,1,0,1.3,10.56,4.21,3.84,0,0.1,999,1483
Kyle Barraclough,Marlins,3,3,3.67,0,65,11,65,54,27,6,75,36,1.38,10.36,4.95,3.84,0.5,0.5,316.2,13713
Sam Dyson,Giants,3,3,3.71,0,65,16,65,65,27,5,52,26,1.4,7.22,3.62,3.84,0.4,0.4,507.5,11710
Chris Rusin,Rockies,2,2,3.88,0,40,0,40,41,17,5,35,12,1.32,7.94,2.6,3.85,0.4,0.5,629.6,9895
Luke Weaver,Cardinals,10,8,3.82,26,26,0,145,135,61,19,144,42,1.23,8.98,2.64,3.85,2.6,2.4,109.9,16918
Alex Reyes,Cardinals,7,5,3.76,16,26,0,102,85,43,12,121,49,1.31,10.66,4.35,3.85,1.7,1.7,255.7,15015
David Phelps,Mariners,3,3,3.76,0,55,0,55,49,23,7,59,21,1.27,9.65,3.39,3.86,0.4,0.4,668.5,6316
Jimmie Sherfy,Diamondbacks,3,3,3.84,0,55,0,55,48,23,7,63,23,1.28,10.23,3.76,3.87,0.5,0.6,545.3,15118
Greg Holland,,3,3,3.78,0,65,0,65,56,27,8,73,28,1.31,10.08,3.94,3.87,0.5,0.5,139.4,7196
Kevin Shackelford,Reds,2,2,3.71,0,40,0,40,35,16,4,43,18,1.32,9.67,3.96,3.87,0.4,0.4,729,11012
Juan Nicasio,Mariners,3,3,3.78,0,65,4,65,59,27,8,69,23,1.26,9.56,3.19,3.87,0.5,0.6,427.2,7731
Phil Maton,Padres,3,3,3.79,0,65,4,65,58,27,8,70,24,1.27,9.65,3.36,3.87,0.5,0.3,627.4,18064
Michael Tonkin,,0,0,3.84,0,1,0,1,1,0,0,1,0,1.26,9.99,3.44,3.87,0,0.1,999,10315
Jenrry Mejia,Mets,0,0,3.84,0,1,0,1,1,0,0,1,0,1.33,9.11,3.62,3.87,0,0.1,999,8476
Boone Logan,Indians,2,1,3.72,0,30,0,30,26,12,4,35,13,1.29,10.45,3.89,3.87,0.3,0.4,999,5525
Garrett Richards,Angels,9,7,3.74,23,23,0,132,125,55,14,122,46,1.29,8.27,3.15,3.88,2.3,2.4,179.6,9784
Trey Wingenter,Padres,0,0,3.73,0,1,0,1,1,0,0,1,0,1.35,9.54,4.17,3.88,0,0.1,999,sa659030
Roberto Gomez,Giants,1,1,3.73,0,20,0,20,18,8,2,19,8,1.3,8.71,3.52,3.88,0.1,0.1,999,12963
Rex Brothers,Braves,2,2,3.73,0,35,0,35,29,15,4,43,19,1.38,11.03,5,3.88,0.3,0.3,725.5,9794
Madison Younginer,Giants,0,0,3.68,0,1,0,1,1,0,0,1,0,1.34,8.92,4.04,3.88,0,0.1,999,10636
Alex Colome,Rays,3,3,3.73,0,65,33,65,60,27,8,63,22,1.26,8.76,3.02,3.88,0.5,0.6,120.5,6661
Grant Dayton,Braves,0,0,3.82,0,1,0,1,1,0,0,1,0,1.24,10.31,3.33,3.89,0,0.1,749,11203
Tyler Webb,Brewers,2,2,3.78,0,35,0,35,32,15,4,37,13,1.29,9.52,3.4,3.9,0.3,0.3,999,14974
Alec Mills,Cubs,1,1,3.8,0,20,0,20,19,8,3,19,6,1.24,8.37,2.59,3.9,0.2,0.2,999,13834
Jon Gray,Rockies,12,10,4.13,32,32,0,190,183,87,25,199,64,1.3,9.41,3.05,3.9,3.9,4,165.7,14916
Aaron Poreda,,0,0,3.79,0,1,0,1,1,0,0,1,0,1.3,9.51,3.58,3.9,0,0.1,999,4313
Matt Albers,Brewers,2,2,3.97,0,45,0,45,44,20,5,43,16,1.33,8.57,3.13,3.91,0.4,0.3,610.2,4300
Jon Lester,Cubs,13,10,3.91,32,32,0,195,185,85,25,187,60,1.26,8.62,2.78,3.91,3.5,3.3,119.4,4930
Dillon Maples,Cubs,1,1,3.62,0,25,0,25,21,10,2,29,15,1.42,10.33,5.36,3.91,0.2,0.2,999,14672
Adrian Houser,Brewers,1,0,3.9,0,10,0,10,10,4,1,10,4,1.33,8.56,3.28,3.91,0.1,0,999,12718
Michael Pineda,Twins,1,0,4,2,2,0,9,9,4,1,9,2,1.24,8.39,2.19,3.91,0.2,0.2,652.3,5372
Jerry Blevins,Mets,3,3,3.75,0,55,1,55,48,23,7,61,23,1.3,10.01,3.84,3.91,0.4,0.3,668,7841
Cam Bedrosian,Angels,3,3,3.72,0,65,25,65,57,27,8,69,27,1.29,9.57,3.72,3.92,0.5,0.6,331.2,13360
Oliver Drake,Brewers,2,2,3.88,0,40,0,40,36,17,5,44,18,1.34,9.82,3.95,3.92,0.3,0.3,999,8823
Tony Watson,Giants,3,3,3.75,0,55,2,55,52,23,6,50,19,1.28,8.13,3.06,3.92,0.3,0.3,640.2,3132
Joe Musgrove,Pirates,9,10,4.05,28,28,0,157,161,71,20,138,42,1.29,7.91,2.39,3.92,2.6,2.2,361.2,12970
Dan Otero,Indians,2,2,3.85,0,45,0,45,48,19,5,32,11,1.32,6.31,2.22,3.93,0.4,0.4,999,7385
Tyler Glasnow,Pirates,5,5,4.02,15,15,0,78,67,35,9,91,40,1.38,10.58,4.68,3.93,1.3,1.1,375.6,14374
Michael Wacha,Cardinals,11,9,3.99,29,29,0,167,163,74,20,156,55,1.31,8.38,2.98,3.94,2.8,2.3,234.7,14078
Mychal Givens,Orioles,3,2,3.85,0,55,0,55,48,24,7,63,21,1.25,10.23,3.48,3.94,0.5,0.6,389.7,10430
Luiz Gohara,Braves,8,8,3.83,23,23,0,130,116,55,15,137,55,1.32,9.52,3.83,3.94,2.2,2.3,278.5,15166
Tyler Duffey,Twins,2,2,3.96,0,40,0,40,40,18,5,36,10,1.25,8.19,2.32,3.95,0.3,0.3,680.8,13758
Joakim Soria,White Sox,3,3,3.83,0,65,5,65,59,28,8,67,25,1.3,9.31,3.48,3.95,0.5,0.5,351.6,6941
Clay Holmes,Pirates,1,1,3.92,0,20,0,20,19,9,2,19,10,1.46,8.48,4.38,3.95,0.1,0.1,999,sa598167
Josh Lucas,Cardinals,1,1,3.91,0,20,0,20,19,9,2,19,7,1.32,8.33,3.16,3.95,0.1,0.2,999,11686
Taylor Williams,Brewers,1,1,3.98,0,25,0,25,23,11,3,28,11,1.34,9.95,3.89,3.95,0.2,0.2,999,14899
Ryne Stanek,Rays,2,2,3.77,0,35,0,35,30,15,4,39,16,1.32,10.14,4.23,3.96,0.2,0.3,690.5,15947
Jose Alvarado,Rays,1,1,3.56,0,30,0,30,24,12,3,35,18,1.41,10.5,5.39,3.96,0.2,0.3,606,17780
Matt Carasiti,Cubs,0,0,3.83,0,1,0,1,1,0,0,1,0,1.34,9.7,4.14,3.96,0,0.1,999,13276
Matt Barnes,Red Sox,2,2,3.96,0,45,0,45,41,20,5,47,19,1.33,9.48,3.82,3.97,0.3,0.4,660.4,12863
Luis Castillo,Reds,9,8,3.91,24,24,0,144,134,62,19,143,47,1.26,8.97,2.94,3.97,2.6,2.4,101.5,15689
Craig Stammen,Padres,3,3,3.96,0,55,2,55,54,24,6,49,19,1.34,8.05,3.19,3.98,0.3,0.2,677.6,7274
Reyes Moronta,Giants,1,1,3.78,0,15,0,15,13,6,2,17,8,1.35,9.97,4.56,3.98,0.1,0.1,999,14966
Trevor Cahill,,3,3,3.97,0,65,0,65,61,29,7,65,28,1.37,8.98,3.91,3.98,0.4,0.4,571.9,6249
Tom Koehler,Dodgers,2,2,3.88,0,40,0,40,37,17,5,41,13,1.26,9.13,2.98,3.98,0.2,0.2,723,6570
Mike Zagurski,Brewers,0,0,3.94,0,1,0,1,1,0,0,1,0,1.3,10.09,3.55,3.98,0,0.1,999,9683
Hunter Strickland,Giants,3,3,3.85,0,55,0,55,51,24,6,52,21,1.31,8.51,3.45,3.98,0.2,0.2,617.2,7836
Pierce Johnson,Giants,1,0,3.78,0,10,0,10,9,4,1,11,5,1.35,9.65,4.49,3.99,0,0,999,13435
Zach Putnam,,0,0,3.94,0,1,0,1,1,0,0,1,0,1.33,9.22,3.71,3.99,0,0.1,999,9080
David Paulino,Astros,1,0,3.96,0,10,0,10,9,4,1,11,3,1.22,9.88,2.98,3.99,0.1,0,587.9,17418
Mike Kickham,Marlins,0,0,3.84,0,1,0,1,1,0,0,1,0,1.31,7.41,2.74,4,0,0.1,999,11618
Andrew Kittredge,Rays,3,3,3.83,0,55,0,55,50,23,7,54,19,1.27,8.9,3.19,4,0.3,0.5,638.3,12828
Esmil Rogers,,0,0,3.96,0,1,0,1,1,0,0,1,0,1.28,8.81,2.95,4,0,0.1,999,6317
Cory Gearrin,Giants,2,2,3.86,0,45,0,45,42,19,5,42,19,1.35,8.42,3.8,4,0.2,0.2,658.7,7947
Zach McAllister,Indians,2,2,3.98,0,35,0,35,32,15,5,37,13,1.27,9.44,3.29,4,0.2,0.3,651.9,2895
Daniel Winkler,Braves,2,2,4.03,0,45,0,45,42,20,6,47,18,1.33,9.5,3.64,4,0.3,0.2,651.4,12237
Dario Alvarez,Cubs,1,0,3.76,0,10,0,10,8,4,1,12,5,1.31,10.57,4.29,4,0.1,0,999,14239
Ryan Sherriff,Cardinals,1,1,3.85,0,25,0,25,25,11,3,22,10,1.37,7.79,3.48,4.01,0.1,0.1,999,12249
Pat Neshek,Phillies,3,3,3.99,0,65,12,65,60,29,10,69,17,1.18,9.5,2.33,4.01,0.5,0.4,503.5,4682
Shae Simmons,Cubs,1,0,3.85,0,10,0,10,9,4,1,10,5,1.38,9.42,4.38,4.01,0.1,0,710.3,14200
Edward Paredes,Dodgers,1,1,3.72,0,25,0,25,22,10,3,27,10,1.28,9.83,3.77,4.01,0.1,0.2,999,4168
Steve Cishek,Cubs,3,3,3.93,0,65,2,65,61,28,8,63,26,1.33,8.78,3.55,4.01,0.4,0.4,523.6,6483
Anthony Bass,,0,0,3.98,0,1,0,1,1,0,0,1,0,1.3,8.79,3.18,4.02,0,0.1,999,7982
Cory Mazzoni,Cubs,1,0,3.93,0,10,0,10,9,4,1,10,4,1.3,9.07,3.45,4.02,0.1,0,999,12537
Zack Godley,Diamondbacks,9,8,4.09,24,24,0,141,137,64,16,136,55,1.36,8.66,3.5,4.02,2.4,2.3,129.6,14862
Jimmy Nelson,Brewers,4,4,4.21,11,11,0,66,64,31,8,65,23,1.32,8.89,3.13,4.02,1.2,1,300.3,10547
Alex Claudio,Rangers,3,3,3.94,0,65,26,65,69,28,6,48,20,1.38,6.6,2.81,4.02,0.5,0.6,315.5,12890
Steven Matz,Mets,1,1,4.01,2,2,0,9,9,4,1,8,3,1.3,7.96,2.74,4.02,0.1,0.2,336.3,13361
Brandon Kintzler,Nationals,3,3,3.96,0,55,2,55,59,24,6,40,16,1.37,6.56,2.67,4.02,0.3,0.3,474.5,9939
Austin Adams,Nationals,1,0,3.77,0,10,0,10,8,4,1,12,6,1.44,11.21,5.79,4.02,0.1,0,999,13801
Adam Liberatore,Dodgers,1,1,3.78,0,20,0,20,18,8,3,21,8,1.28,9.33,3.5,4.03,0.1,0.1,999,10637
Peter Moylan,Braves,2,2,3.97,0,40,0,40,40,18,4,34,15,1.39,7.67,3.46,4.03,0.2,0.2,999,4891
Derek Law,Giants,2,2,3.92,0,35,0,35,33,15,4,31,13,1.32,8.06,3.29,4.03,0.1,0.1,698.7,13133
Justin Grimm,Cubs,2,2,3.94,0,35,0,35,31,15,4,38,16,1.34,9.9,4.14,4.03,0.2,0.2,999,11720
Aaron Loup,Blue Jays,3,2,3.82,0,55,0,55,51,23,6,53,23,1.34,8.75,3.7,4.03,0.4,0.5,999,10343
